stop_id,assigned_hub_id,dist_to_hub,daily_passengers,stop_name,assigned_hub_name
110,96,6.0,0.0,Neumarkt i.d. OPf. Meuselstr. 1,Neumarkt i.d. OPf. Landratsamt 1
111,136,1.0,0.0,Neumarkt i.d. OPf. Milchhofstr. 1,Neumarkt i.d. OPf. Oberer Markt 2
112,96,2.0,0.0,Neumarkt i.d. OPf. Milchhofstr. 2,Neumarkt i.d. OPf. Landratsamt 1
113,170,4.0,0.0,Neumarkt i.d. OPf. Moosweiherstr. 1,Neumarkt i.d. OPf. Theo-Betz-Platz 2
114,170,2.0,0.0,Neumarkt i.d. OPf. Moosweiherstr. 2,Neumarkt i.d. OPf. Theo-Betz-Platz 2
115,119,2.0,0.0,Neumarkt i.d. OPf. Museum Lothar Fischer 1,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
116,170,2.0,0.0,Neumarkt i.d. OPf. Museum Lothar Fischer 2,Neumarkt i.d. OPf. Theo-Betz-Platz 2
117,143,1.0,0.0,Neumarkt i.d. OPf. Neuer Markt 1,Neumarkt i.d. OPf. Rathaus 2
118,96,3.0,0.0,Neumarkt i.d. OPf. Neuer Markt 2,Neumarkt i.d. OPf. Landratsamt 1
119,119,0.0,0.0,Neumarkt i.d. OPf. Neumarkt Bahnhof 1,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
120,119,1.0,0.0,Neumarkt i.d. OPf. Neumarkt Bahnhof 10,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
121,119,2.0,0.0,Neumarkt i.d. OPf. Neumarkt Bahnhof 11,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
122,119,2.0,0.0,Neumarkt i.d. OPf. Neumarkt Bahnhof 2,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
123,119,1.0,0.0,Neumarkt i.d. OPf. Neumarkt Bahnhof 3,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
124,119,1.0,0.0,Neumarkt i.d. OPf. Neumarkt Bahnhof 6,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
125,170,1.0,0.0,Neumarkt i.d. OPf. Neumarkt Bahnhof 7,Neumarkt i.d. OPf. Theo-Betz-Platz 2
126,119,1.0,0.0,Neumarkt i.d. OPf. Neumarkt Bahnhof 8,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
127,119,1.0,0.0,Neumarkt i.d. OPf. Neumarkt Bahnhof 9,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
128,119,1.0,0.0,Neumarkt i.d. OPf. Nibelungenstr. 1,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
129,77,3.0,0.0,Neumarkt i.d. OPf. Nobelstr. 1,Neumarkt i.d. OPf. Kerschensteinerstr. 1
130,119,4.0,0.0,Neumarkt i.d. OPf. Nobelstr. 2,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
131,96,3.0,0.0,Neumarkt i.d. OPf. Nürnberger Str. 1,Neumarkt i.d. OPf. Landratsamt 1
132,119,3.0,0.0,Neumarkt i.d. OPf. Nürnberger Str. 2,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
133,119,2.0,0.0,Neumarkt i.d. OPf. Oberer Lährer Weg 1,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
134,119,5.0,0.0,Neumarkt i.d. OPf. Oberer Lährer Weg 2,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
135,119,2.0,0.0,Neumarkt i.d. OPf. Oberer Markt 1,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
136,136,0.0,0.0,Neumarkt i.d. OPf. Oberer Markt 2,Neumarkt i.d. OPf. Oberer Markt 2
137,170,3.0,0.0,Neumarkt i.d. OPf. Pelchenhofen 1,Neumarkt i.d. OPf. Theo-Betz-Platz 2
138,119,4.0,0.0,Neumarkt i.d. OPf. Pelchenhofener Str. 1,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
139,119,2.0,0.0,Neumarkt i.d. OPf. Pelchenhofener Str. 2,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
140,119,1.0,0.0,Neumarkt i.d. OPf. Pulveräcker 1,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
141,119,4.0,0.0,Neumarkt i.d. OPf. Pöllinger Höhe 2,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
142,96,1.0,0.0,Neumarkt i.d. OPf. Rathaus 1,Neumarkt i.d. OPf. Landratsamt 1
143,143,0.0,0.0,Neumarkt i.d. OPf. Rathaus 2,Neumarkt i.d. OPf. Rathaus 2
144,119,4.0,0.0,Neumarkt i.d. OPf. Rebhuhnstr. 1,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
145,119,1.0,0.0,Neumarkt i.d. OPf. Regensburger Str. 1,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
146,119,1.0,0.0,Neumarkt i.d. OPf. Regensburger Str. 2,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
147,119,7.0,0.0,Neumarkt i.d. OPf. Regerstr. 1,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
148,170,3.0,0.0,Neumarkt i.d. OPf. Renauweg 2,Neumarkt i.d. OPf. Theo-Betz-Platz 2
149,119,3.0,0.0,Neumarkt i.d. OPf. Saarlandstr. 1,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
150,119,5.0,0.0,Neumarkt i.d. OPf. Saarlandstr. 2,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
151,170,6.0,0.0,Neumarkt i.d. OPf. Sachsenstr. 1,Neumarkt i.d. OPf. Theo-Betz-Platz 2
